id,state,city,klan_number,nickname,notes,latitude,longitude,year,sources
2203,Ohio,Canfield,170,,,41.0336971,-80.8004732,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #4, 11 April 1932, Box 1, Folder 6"
2204,Ohio,Zanesville,198,,,39.9657498,-82.0860697,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #2, 2 February 1932, Box 1, Folder 6"
2205,Ohio,Mt. Pleasant,217,,,40.1760912,-80.8080872,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #4, 11 April 1932, Box 1, Folder 6"
2206,South Carolina,Orangeburg,77,,,33.4873136,-80.9006758,1925,"Raleigh Carolina Jeffersonian, 7 March 1925"
2207,Texas,Ranger,150,,,32.4630596,-98.7079581,1921,"Chesterfield (SC) Advertiser, 24 November 1921"
2208,Texas,Clarendon,165,,,34.9367155,-100.9269712,1925,"Wisconsin Kourier, 13 March 1925"
2209,Texas,Dekalb,184,,,33.506085,-94.6517652,1922,"Shreveport Times, 17 April 1922"
2210,Texas,Big Spring,226,,,32.237,-101.5390634,1925,"Wisconsin Kourier, 13 March 1925"
2211,Texas,Gatesville,255,,,31.4387353,-97.8144154,1925,"Wisconsin Kourier, 13 March 1925"
2212,Arkansas,Conway,14,,,35.076254,-92.6013887,1922,"Conway Log Cabin Democrat, 15 May 1924"
2213,Arkansas,Clarksville,14,,,35.4603945,-93.6182198,1922,"Clarksville Herald Democrat, 23 March 1922, 10 April 1924"
2214,Arkansas,Clarendon,17,,,34.6945294,-91.3425024,1922,"Jonesboro Evening Sun, 14 September 1922"
2215,Arkansas,England,23,,,34.5469519,-92.0026244,1922,"Jonesboro Daily Tribune, 21 September 1922"
2216,Arkansas,Wilmot,21,,,33.0576498,-91.5947845,1922,"Searchlight, 25 November 1922"
2217,Arkansas,Sheridan,33,,,34.298008,-92.4925732,1922,"Sheridan Headlight, 9 November 1922"
2218,Arkansas,Benton,34,David O. Dodd Klan,,34.5922769,-92.6381963,1922,"Benton Courier, 12 January 1922"
2219,Arkansas,Dierks,35,,,34.116908,-94.0526978,1922,"Fellowship Forum, 23 Janurary 1926"
2220,Arkansas,Dardanelle,41,,,35.2280544,-93.2037879,1922,"Dardanelle Post Dispatch, 8 June 1922"
2221,Arkansas,Morrilton,46,,,35.1538297,-92.8127712,1922,"Old State House Museum in Little Rock | Old State House Museum, Little Rock, Arkansas, Official seal"
2222,Arkansas,Walnut Ridge,47,,,36.0702,-90.9542,1922,"Paragould Soliphone, July 24, 1922"
2223,Arkansas,Mineral Springs,56,Thos. E. Hays Klan,,33.87537,-93.9193,1922,"Nashville News, June 13, 1923"
2224,Arkansas,Blytheville,58,,,35.927296,-89.918976,1922,"Paragould Soliphone, August 13, 1923"
2225,Arkansas,Bentonville,69,,,36.371868,-94.202721,1922,"University of Arkansas Libraries, Fayetteville. Special Collections South By Southwest Collection, folder 1, box 3"
2226,Arkansas,Des Arc,70,,,34.97715,-91.51038,1922,"Des Arc White River Journal, June 9, 1923"
2227,Arkansas,Hamburg,74,,,33.227821,-91.797501,1922,"Arkansas Gazette, August 26, 1922"
2228,Arkansas,Dermott,77,,,33.52531014,-91.43582288,1922,"Arkansas Gazette, June 3, 1925"
2229,Arkansas,Rector,81,,,36.26410583,-90.29252133,1922,"Paragould Soliphone, October 15, 1923"
2230,Arkansas,Calico Rock,105,Thos. Jackson Klan,,36.11999358,-92.13872529,1922,"Calico Rock Progress, May 11, 1923"
2231,Arkansas,Chidester,118,,,33.70232133,-93.02188258,1922,"Arkansas Gazette, July 11, 1925"
2232,Arkansas,Waldron,119,,,34.8963408,-94.09082917,1922,"Waldron Advance Reporter, December 28, 1922"
2233,Arkansas,Marianna,120,Lee County Klan,,34.7747448,-90.77107489,1923,"Marianna, Marianna Courier-Index, May 22, 1924"
2234,Arkansas,Heber Springs,126,Pat Cleburne Klan,,35.4911868,-92.0294468,1923,"Cleburne County Historical Society, Heber Springs, Arkansas, Original charter "
2235,Arkansas,Swifton,132,,,35.82446132,-91.13064624,1923,"Newport Weekly Independent, May 4, 1923"
2236,Arkansas,Quitman,135,,,35.38440408,-92.21585907,1923,"Conway Log Cabin Democrat, August 20, 1923"
2237,Arkansas,Fouke,136,,,33.26502533,-93.88546273,1923,"Prescott Nevada News, September 6, 1923"
2238,Oklahoma,Sand Springs,205,,,36.14049257,-96.1059136,1923,"Oklahoma University Western History Collections, John Calloway Walton Collection https://lib.ou.edu/sites/default/files/WaltonJohnCalloway.pdf"
2239,Alabama,Dothan,21,,,31.22112,-85.39491,1922,"Dothan Weekly Eagle, 17 November 1922"
2240,Alabama,Clanton,35,,,32.83956,-86.62652,1925,"Clanton Union Banner, 2 July 1925"
2241,Alabama,Robertsdale,78,,,30.54572,-87.71097,1925,"H. L. Mencken, ed., Americana 1925 (New York: Alfred A. Knopf, 1925), 4"
2242,Florida,Hastings,4,,,29.71824,-81.50736,1924,Jacksonsville Florida Times-Union/ Date: 17 December 1924
2243,Florida,Fernandina Beach,18,Joe Wheeler Klan,,30.67224,-81.45954,1928,Jacksonville Florida Times-Union/ Date: 4 March 1928
2244,Florida,Wildwood,75,,,28.86653,-82.04475,1928,Jacksonville Florida Times-Union/ Date: 4 June 1928
2245,Georgia,Cedartown,21,,,34.01229,-85.26922,1924,"Augusta Chronicle, 9 September 1924"
2246,Georgia,Smyrna,43,,,33.8849,-84.51372,1922,"Cobb County [GA] Times, 5 July 1922"
2247,Georgia,Winder,55,,,33.99296,-83.72125,1922,"Winder News and Barrow Times, 6 July 1922"
2248,Georgia,Albany,75,Aldoga Klan,,31.57899,-84.16124,1921,"Hearst's International Magazine, August 1923, p. 130"
2249,Georgia,Hoschton,99,Captain Moss Klan,,34.0956,-83.76162,1922,"Winder News and Barrow Times, 6 July 1922"
2250,Georgia,Powder Springs,137,,,33.85867,-84.68368,1937,"Marietta Journal, 27 December 1937"
2251,Georgia,Blackshear,160,,,31.30724,-82.2435,1924,Jacksonville Florida Times-Union/ Date: 19 May 1924
2252,Georgia,Kingsland,167,,,30.80108,-81.69488,1928,Jacksonville Florida Times-Union/ Date: 18 February 1928
2253,Georgia,Butler,191,Taylor County Klan,,32.55725,-84.23872,1925,"Butler Herald, 28 May 1925"
2254,Iowa,Council Bluffs,9,,,41.26047,-95.86556,1932,"Council Bluffs Nonpareil, 23 March 1932"
2255,Kentucky,Henderson,2,,,37.83462,-87.59155,1924,"Filson Historical Society, Henderson Kounty Klan No. 2 (Henderson County, Ky.) Broadside, 30 May 1924."
2256,Maryland,Rockville,12,Montgomery Klan,,39.0824,-77.15096,1923,Washington Evening Star/ Date: 8 May 1923
2257,Maryland,Rising Sun,24,,,39.6994,-76.063,1923,Rising Sun [MD] Midland Journal/ Date: 14 September 1923
2258,Maryland,Pocomoke City,35,Pocomoke Klan,,38.07659,-75.5687,1923,Worcester [MD] Democrat/ Date: 10 November 1923
2259,Massachusetts,New Bedford,12,,,41.63802,-70.93686,1927,Springfield Republican/ Date:  27 April 1927
2260,Michigan,Flint,27,Dixie Highway Klan,,43.01195,-83.68921,1926,Bay City Times/ Date: 24 January 1926
2261,Minnesota,Hibbing/Virginia,6,,,47.42483,-92.95005,1927,"Upper Country: A Journal of the Lake Superior Region, 3 (2015): 43"
2262,Mississippi,Yazoo City,28,,,32.8552,-90.40781,1924,Yazoo City (MS) Yazoo Herald/ Date: 12 February 1924
2263,Mississippi,Wiggins,35,J. K. Mosby Klan,,30.85796,-89.13245,1922,Wiggins (MS) Stone County Enterprise/ Date: 14 September 1922
2264,Mississippi,Port Gibson,69,Robert E. Lee Klan,,31.96089,-90.98212,1922,Port Gibson Reveille/ Date: 23 November 1922
2265,Mississippi,Louisville,106,Col Ward Klan,,33.12396,-89.05175,1923,Water Valley North Mississippi Herald/ Date: 28 September 1923
2266,Missouri,Washburn,25,,,36.58706,-93.96633,1923,"Rost, “Anti-Klan Activism”/ Date: 23 January 1923"
